,RACE2,No_Highschool,Highschool,Some_College,B.S._Degree,M.S._Degree,PhD_or_Prof,B.S. Degree +,% Completed Highschool
0,American Indian,0.180316780339327,0.33532495349754804,0.35832252973338596,0.08471901245702046,0.03325629896849107,0.008060425004227496,0.12603573642973903,0.819683219660673
1,Asian,0.11414312223153358,0.14232162097450018,0.21313450257392555,0.3006629354722854,0.15197384173350892,0.07776397701424638,0.5304007542200407,0.8858568777684664
2,Black,0.14947248041685654,0.31782302513349214,0.3314086965494114,0.1220259847462145,0.06141497347354664,0.017854839680478764,0.20129579790023988,0.8505275195831434
3,Hispanic,0.267876250435475,0.28022507838550736,0.281071144179565,0.11501206887970936,0.03942604389588414,0.016389414223859054,0.17082752699945258,0.732123749564525
4,Native Alaskan,0.19487951807228915,0.3960843373493976,0.3042168674698795,0.06445783132530121,0.029216867469879518,0.011144578313253013,0.1048192771084338,0.8051204819277109
5,White,0.06940168194725889,0.27496010415634387,0.3123146879353374,0.21010102390789043,0.09447597763326807,0.03874652441990133,0.3433235259610598,0.9305983180527411
